Comment,Length,Toxicity,perspective_score,Predicted_Toxicity
Here to test the x2 speed feature so I can make this look like a kracc bacc video,long,Non-Toxic,0.06896287,Non-Toxic
日本人はまだ許してないからな。,short,Non-Toxic,0.03875561,Non-Toxic
o7,short,Non-Toxic,,Non-Toxic
I remember watching Logan Paul while being 10 lol,short,Non-Toxic,0.09525062,Non-Toxic
We should forgive him,short,Non-Toxic,0.04315203,Non-Toxic
5 years later  and somehow there ended up being apologies even WORSE than this,long,Toxic,0.10002319,Non-Toxic
iconic,short,Non-Toxic,0.032156147,Non-Toxic
i still doNon-Toxic forgive u u bum,short,Toxic,0.4269174,Non-Toxic
It’s better than sniperwolf’s video,short,Non-Toxic,0.11067997,Non-Toxic
Can someone pls explain wth happened?,short,Non-Toxic,0.01822079,Non-Toxic
Then man proceeds to make a shitty drink,short,Toxic,0.74954444,Toxic
I don’t care you still did it and I will never forgive you,long,Toxic,0.3302291,Non-Toxic
you look like ninja,short,Non-Toxic,0.24603334,Non-Toxic
lol,short,Non-Toxic,0.054037213,Non-Toxic
so genuine,short,Non-Toxic,0.024731753,Non-Toxic
This video should be used after wars,short,Non-Toxic,0.17718399,Non-Toxic
ALL ABOARDDDDD,short,Non-Toxic,0.029327808,Non-Toxic
I forgive you Logan,short,Non-Toxic,0.016210219,Non-Toxic
hey atleast logan made a video unlike a certain female coNon-ToxiceNon-Toxic creator,long,Toxic,0.37073207,Non-Toxic
Better than sssniperwolfs,short,Toxic,0.07212844,Non-Toxic
Finally  a video where haters will like,short,Non-Toxic,0.28425202,Non-Toxic
Where's the video? I wanna see it!,short,Non-Toxic,0.059232414,Non-Toxic
it would have been better with the ukelele,short,Non-Toxic,0.054037213,Non-Toxic
Still laughing as hard as I did 1 year ago,long,Toxic,0.03357032,Non-Toxic
How did he get away with this,short,Toxic,0.035220183,Non-Toxic
I didn't know it would get worse down the way after this.,long,Toxic,0.057748068,Non-Toxic
HAHAHAAHAHAH... wait this isn't a joke... oh,short,Toxic,0.08241652,Non-Toxic
The fact there is new commeNon-Toxics on this daily is baffling,long,Non-Toxic,0.112333365,Non-Toxic
It’s ok ☺️,short,Non-Toxic,0.019980038,Non-Toxic
Logan pail,short,Non-Toxic,,Non-Toxic
Logan paul,short,Non-Toxic,0.010115679,Non-Toxic
Toxic gossip train,short,Non-Toxic,,Non-Toxic
懐かし,short,Non-Toxic,0.007916619,Non-Toxic
💀,short,Non-Toxic,,Non-Toxic
Anyone here 2020202023,short,Non-Toxic,,Non-Toxic
I love coming back to this every once in a while,long,Non-Toxic,0.035691574,Non-Toxic
Its been 5 years and its still Gold 🥇 LMAO,long,Non-Toxic,,Non-Toxic
the fact bro came back from this is wild,short,Toxic,,Non-Toxic
 harry,short,Non-Toxic,0.017718147,Non-Toxic
And people trust this man. Sad.,short,Toxic,,Non-Toxic
This will be a beautiful ancieNon-Toxic hieroglyphic that our future generations will probably never know about. Keep that in mind when ever you watch this autheNon-Toxicic peace of gold.,long,Non-Toxic,0.05354243,Non-Toxic
i don't accept it,short,Toxic,0.06500591,Non-Toxic
Shut up prime man 😂 so sigma skibidi toilet 🚽 grimace shake 🍶,long,Toxic,,Non-Toxic
The reason he’s apologizing too💀😭,short,Toxic,0.08479069,Non-Toxic
